1,State,Population,AreaInSqKm,DensityPerSqKm
2,Uttar Pradesh;199812341;240928,828
3,Maharashtra,112372972,307713,365
4,Bihar,103804637,94163,1102
5,West Bengal,91347736,88752,1029
6,Madhya Pradesh,72597565,308245,236
7,Tamil Nadu,72138958,130058,555
8,Rajasthan,68621012,342239,201
9,Karnataka,61130704,191791,319
10,Gujarat,60383628,196024,308
11,Andhra Pradesh,49386799,162968,303
12,Odisha,41947358,155707,269
13,Telangana,35286757,114840,307
14,Kerala,33387677,38863,859
15,Jharkhand,32966238,79714,414
16,Assam,31169272,78438,397
17,Punjab,27704236,50362,550
18,Chattisgarh,25540196,135191,189
19,Haryana,25353081,44212,573
20,Jammu and Kashmir,12548926,222236,57
21,Uttarakhand,10116752,53483,189
22,Himachal Pradesh,6864602,55673,123
23,Tripura,3671032,10486,350
24,Meghalaya,2964007,22429,132
25,Manipur,2721756,22327,122
26,Nagaland,1980602,16579,119
27,Goa,1457723,3702,394
28,Arunachal Pradesh,1382611,21000,50
29,Mizoram,1091014,21081,52
30,Sikkim,607688,7096,86
